model,policy,checkpoint,repeat,repeat_type,speaker,fold,uar_percent,query_records,minimum_class_support
cnn,U,last,0,panel_draw,1081,2,56.94444444444445,72,12
cnn,U,last,0,panel_draw,1082,2,25.000000000000007,72,12
cnn,U,last,0,panel_draw,1083,2,48.611111111111114,72,12
cnn,U,last,0,panel_draw,1084,4,27.777777777777775,72,12
cnn,U,last,0,panel_draw,1085,0,58.333333333333336,72,12
cnn,U,last,0,panel_draw,1086,0,40.27777777777777,72,12
cnn,U,last,0,panel_draw,1087,0,30.555555555555554,72,12
cnn,U,last,0,panel_draw,1088,2,43.05555555555555,72,12
cnn,U,last,0,panel_draw,1089,0,47.222222222222214,72,12
cnn,U,last,0,panel_draw,1090,1,45.83333333333333,72,12
cnn,U,last,0,panel_draw,1091,1,34.72222222222223,72,12
cnn,U,last,1,panel_draw,1001,1,27.777777777777775,72,12
cnn,U,last,1,panel_draw,1002,3,40.909090909090914,71,11
cnn,U,last,1,panel_draw,1003,4,52.77777777777778,72,12
cnn,U,last,1,panel_draw,1004,1,45.83333333333333,72,12
cnn,U,last,1,panel_draw,1005,1,37.5,72,12
cnn,U,last,1,panel_draw,1006,3,33.96464646464646,70,11
cnn,U,last,1,panel_draw,1007,2,40.27777777777777,72,12
cnn,U,last,1,panel_draw,1008,2,27.272727272727277,66,11
cnn,U,last,1,panel_draw,1009,3,54.545454545454554,66,11
cnn,U,last,1,panel_draw,1010,0,41.66666666666667,72,12
cnn,U,last,1,panel_draw,1011,0,51.388888888888886,72,12
cnn,U,last,1,panel_draw,1012,3,43.05555555555556,72,12
cnn,U,last,1,panel_draw,1013,0,51.388888888888886,70,11
cnn,U,last,1,panel_draw,1014,3,50.0,72,12
cnn,U,last,1,panel_draw,1015,3,50.0,72,12
cnn,U,last,1,panel_draw,1016,4,41.66666666666667,72,12
cnn,U,last,1,panel_draw,1017,1,37.87878787878788,70,11
cnn,U,last,1,panel_draw,1018,1,58.33333333333333,72,12
cnn,U,last,1,panel_draw,1019,0,45.45454545454545,66,11
cnn,U,last,1,panel_draw,1020,0,56.94444444444444,72,12
cnn,U,last,1,panel_draw,1021,3,43.05555555555556,72,12
cnn,U,last,1,panel_draw,1022,1,41.66666666666666,72,12
cnn,U,last,1,panel_draw,1023,3,36.11111111111111,72,12
cnn,U,last,1,panel_draw,1024,2,37.5,72,12
cnn,U,last,1,panel_draw,1025,0,43.05555555555556,72,12
cnn,U,last,1,panel_draw,1026,4,55.55555555555556,72,12
cnn,U,last,1,panel_draw,1027,3,55.55555555555556,72,12
cnn,U,last,1,panel_draw,1028,1,43.05555555555556,72,12
cnn,U,last,1,panel_draw,1029,1,44.44444444444445,72,12
cnn,U,last,1,panel_draw,1030,0,51.388888888888886,72,12
cnn,U,last,1,panel_draw,1031,2,36.11111111111111,72,12
cnn,U,last,1,panel_draw,1032,0,47.22222222222223,72,12
cnn,U,last,1,panel_draw,1033,3,48.61111111111111,72,12
cnn,U,last,1,panel_draw,1034,0,54.16666666666667,72,12
cnn,U,last,1,panel_draw,1035,4,48.611111111111114,72,12
cnn,U,last,1,panel_draw,1036,3,31.944444444444443,72,12
cnn,U,last,1,panel_draw,1037,3,52.77777777777778,72,12
cnn,U,last,1,panel_draw,1038,0,54.166666666666664,72,12
cnn,U,last,1,panel_draw,1039,4,43.05555555555556,72,12
cnn,U,last,1,panel_draw,1040,1,38.76262626262626,71,11
cnn,U,last,1,panel_draw,1041,1,52.77777777777778,72,12
cnn,U,last,1,panel_draw,1042,4,33.33333333333333,72,12
cnn,U,last,1,panel_draw,1043,4,55.55555555555556,72,12
cnn,U,last,1,panel_draw,1044,2,47.222222222222214,72,12
cnn,U,last,1,panel_draw,1045,0,54.166666666666664,72,12
cnn,U,last,1,panel_draw,1046,2,37.5,72,12
cnn,U,last,1,panel_draw,1047,1,50.0,72,12
cnn,U,last,1,panel_draw,1048,2,48.61111111111111,72,12
cnn,U,last,1,panel_draw,1049,3,44.44444444444444,72,12
cnn,U,last,1,panel_draw,1050,2,55.55555555555555,72,12
cnn,U,last,1,panel_draw,1051,3,59.72222222222222,72,12
cnn,U,last,1,panel_draw,1052,0,41.66666666666667,72,12
cnn,U,last,1,panel_draw,1053,0,49.99999999999999,72,12
cnn,U,last,1,panel_draw,1054,4,29.166666666666668,72,12
cnn,U,last,1,panel_draw,1055,1,52.77777777777778,72,12
cnn,U,last,1,panel_draw,1056,2,52.77777777777778,72,12
cnn,U,last,1,panel_draw,1057,1,40.27777777777777,72,12
