model,policy,checkpoint,speaker,fold,uar_percent
cnn,R,last,1028,1,47.68518518518518
cnn,R,last,1029,1,43.98148148148149
cnn,R,last,1030,0,47.68518518518519
cnn,R,last,1031,2,37.96296296296296
cnn,R,last,1032,0,44.90740740740741
cnn,R,last,1033,3,42.129629629629626
cnn,R,last,1034,0,50.925925925925924
cnn,R,last,1035,4,53.24074074074074
cnn,R,last,1036,3,33.7962962962963
cnn,R,last,1037,3,53.7037037037037
cnn,R,last,1038,0,56.944444444444436
cnn,R,last,1039,4,45.833333333333336
cnn,R,last,1040,1,46.75925925925926
cnn,R,last,1041,1,50.925925925925924
cnn,R,last,1042,4,34.25925925925926
cnn,R,last,1043,4,55.0925925925926
cnn,R,last,1044,2,47.68518518518519
cnn,R,last,1045,0,50.925925925925924
cnn,R,last,1046,2,46.296296296296305
cnn,R,last,1047,1,56.94444444444445
cnn,R,last,1048,2,45.37037037037036
cnn,R,last,1049,3,44.90740740740741
cnn,R,last,1050,2,52.77777777777778
cnn,R,last,1051,3,57.870370370370374
cnn,R,last,1052,0,39.351851851851855
cnn,R,last,1053,0,48.61111111111111
cnn,R,last,1054,4,27.777777777777775
cnn,R,last,1055,1,49.074074074074076
cnn,R,last,1056,2,43.518518518518526
cnn,R,last,1057,1,35.18518518518518
cnn,R,last,1058,4,54.629629629629626
cnn,R,last,1059,2,34.25925925925926
cnn,R,last,1060,2,40.74074074074074
cnn,R,last,1061,0,49.074074074074076
cnn,R,last,1062,4,43.981481481481474
cnn,R,last,1063,2,55.555555555555564
cnn,R,last,1064,1,48.14814814814815
cnn,R,last,1065,1,51.85185185185185
cnn,R,last,1066,4,50.46296296296296
cnn,R,last,1067,4,39.81481481481481
cnn,R,last,1068,0,44.9074074074074
cnn,R,last,1069,4,36.574074074074076
cnn,R,last,1070,2,31.018518518518523
cnn,R,last,1071,2,40.74074074074075
cnn,R,last,1072,3,43.05555555555555
cnn,R,last,1073,4,43.98148148148149
cnn,R,last,1074,4,33.7962962962963
cnn,R,last,1075,1,33.333333333333336
cnn,R,last,1076,4,38.76262626262626
cnn,R,last,1077,3,39.81481481481481
cnn,R,last,1078,1,49.53703703703704
cnn,R,last,1079,2,35.648148148148145
cnn,R,last,1080,3,52.77777777777777
cnn,R,last,1081,2,58.333333333333336
cnn,R,last,1082,2,22.222222222222225
cnn,R,last,1083,2,48.14814814814815
cnn,R,last,1084,4,31.48148148148148
cnn,R,last,1085,0,55.55555555555555
cnn,R,last,1086,0,41.20370370370371
cnn,R,last,1087,0,33.333333333333336
cnn,R,last,1088,2,40.74074074074075
cnn,R,last,1089,0,39.351851851851855
cnn,R,last,1090,1,50.46296296296297
cnn,R,last,1091,1,40.74074074074074
cnn,C,last,1001,1,25.462962962962962
cnn,C,last,1002,3,35.73232323232323
cnn,C,last,1003,4,37.96296296296297
cnn,C,last,1004,1,38.88888888888889
cnn,C,last,1005,1,35.648148148148145
cnn,C,last,1006,3,39.141414141414145
cnn,C,last,1007,2,39.81481481481481
cnn,C,last,1008,2,26.262626262626267
cnn,C,last,1009,3,53.53535353535354
cnn,C,last,1010,0,51.388888888888886
cnn,C,last,1011,0,51.388888888888886
cnn,C,last,1012,3,42.59259259259259
cnn,C,last,1013,0,55.09259259259259
cnn,C,last,1014,3,50.46296296296296
cnn,C,last,1015,3,38.888888888888886
cnn,C,last,1016,4,43.98148148148149
cnn,C,last,1017,1,37.24747474747475
cnn,C,last,1018,1,61.574074074074076
cnn,C,last,1019,0,41.91919191919191
cnn,C,last,1020,0,55.555555555555564
cnn,C,last,1021,3,43.055555555555564
cnn,C,last,1022,1,43.98148148148149
cnn,C,last,1023,3,38.888888888888886
cnn,C,last,1024,2,37.50000000000001
cnn,C,last,1025,0,33.333333333333336
cnn,C,last,1026,4,53.7037037037037
cnn,C,last,1027,3,54.166666666666664
cnn,C,last,1028,1,43.98148148148149
cnn,C,last,1029,1,38.888888888888886
cnn,C,last,1030,0,54.166666666666664
cnn,C,last,1031,2,31.481481481481477
cnn,C,last,1032,0,44.90740740740741
cnn,C,last,1033,3,43.51851851851851
cnn,C,last,1034,0,54.629629629629626
cnn,C,last,1035,4,51.38888888888889
