level,enc,condition,estimator,speaker,uar
cremad,hubert_base,balanced@3,neutral_filter,1038,75.55555555555556
cremad,hubert_base,balanced@3,neutral_filter,1039,79.33333333333333
cremad,hubert_base,balanced@3,neutral_filter,1040,67.33333333333333
cremad,hubert_base,balanced@3,neutral_filter,1041,64.44444444444444
cremad,hubert_base,balanced@3,neutral_filter,1042,50.0
cremad,hubert_base,balanced@3,neutral_filter,1043,69.77777777777777
cremad,hubert_base,balanced@3,neutral_filter,1044,64.0
cremad,hubert_base,balanced@3,neutral_filter,1045,60.888888888888886
cremad,hubert_base,balanced@3,neutral_filter,1046,57.555555555555564
cremad,hubert_base,balanced@3,neutral_filter,1047,75.77777777777779
cremad,hubert_base,balanced@3,neutral_filter,1048,56.88888888888889
cremad,hubert_base,balanced@3,neutral_filter,1049,68.22222222222223
cremad,hubert_base,balanced@3,neutral_filter,1050,60.44444444444445
cremad,hubert_base,balanced@3,neutral_filter,1051,61.333333333333336
cremad,hubert_base,balanced@3,neutral_filter,1052,71.1111111111111
cremad,hubert_base,balanced@3,neutral_filter,1053,67.77777777777777
cremad,hubert_base,balanced@3,neutral_filter,1054,70.8888888888889
cremad,hubert_base,balanced@3,neutral_filter,1055,60.22222222222222
cremad,hubert_base,balanced@3,neutral_filter,1056,69.1111111111111
cremad,hubert_base,balanced@3,neutral_filter,1057,60.44444444444445
cremad,hubert_base,balanced@3,neutral_filter,1058,64.44444444444444
cremad,hubert_base,balanced@3,neutral_filter,1059,61.333333333333336
cremad,hubert_base,balanced@3,neutral_filter,1060,51.333333333333336
cremad,hubert_base,balanced@3,neutral_filter,1061,61.11111111111111
cremad,hubert_base,balanced@3,neutral_filter,1062,50.22222222222222
cremad,hubert_base,balanced@3,neutral_filter,1063,69.1111111111111
cremad,hubert_base,balanced@3,neutral_filter,1064,79.77777777777777
cremad,hubert_base,balanced@3,neutral_filter,1065,67.1111111111111
cremad,hubert_base,balanced@3,neutral_filter,1066,65.33333333333333
