corpus,model,window,criterion,n_draws,folds_per_draw,df,mean_pp,sd_draw_pp,se_pp,pointwise_95_low_pp,pointwise_95_high_pp
ravdess,wavlm_base_plus,31,UAR,24,5,23,0.173611111111111,2.3139289770407925,0.4723287745658495,-0.8034754030144367,1.1506976252366587
ravdess,wavlm_base_plus,32,CE,24,5,23,1.7013888888888888,2.483084885279604,0.506857579746028,0.6528740991486883,2.7499036786290896
ravdess,wavlm_base_plus,32,UAR,24,5,23,0.2777777777777776,2.1358124559569673,0.4359708919479284,-0.6240967257714851,1.1796522813270405
ravdess,wavlm_base_plus,33,CE,24,5,23,1.7274305555555556,2.428381748752265,0.49569134876087917,0.7020148745224801,2.7528462365886313
ravdess,wavlm_base_plus,33,UAR,24,5,23,0.3211805555555555,2.2412766741822603,0.4574986853457202,-0.6252275816415782,1.2675886927526894
ravdess,wavlm_base_plus,34,CE,24,5,23,2.005208333333333,2.119978882431738,0.432738877286124,1.110019761511198,2.900396905155468
ravdess,wavlm_base_plus,34,UAR,24,5,23,0.1475694444444445,2.1259048644171106,0.433948513293548,-0.7501214501102852,1.0452603389991741
ravdess,wavlm_base_plus,35,CE,24,5,23,2.092013888888889,2.002488607455013,0.4087562753334354,1.2464371091138338,2.937590668663944
ravdess,wavlm_base_plus,35,UAR,24,5,23,0.26909722222222227,2.0071949073106916,0.409716944768681,-0.5784668536911506,1.1166612981355952
ravdess,wavlm_base_plus,36,CE,24,5,23,2.0659722222222223,1.8663413870746934,0.38096534034759927,1.2778853716062781,2.8540590728381665
ravdess,wavlm_base_plus,36,UAR,24,5,23,0.15625000000000006,1.7871425016646092,0.36479893555994414,-0.5983940943188464,0.9108940943188466
ravdess,wavlm_base_plus,37,CE,24,5,23,2.013888888888889,1.846774944941175,0.37697135707186474,1.2340642221721791,2.7937135556055983
ravdess,wavlm_base_plus,37,UAR,24,5,23,0.26041666666666663,1.8636431420391524,0.38041456338609314,-0.5265308149962145,1.0473641483295477
ravdess,wavlm_base_plus,38,CE,24,5,23,2.1440972222222223,2.0846727276580426,0.4255320386215171,1.2638171320506886,3.024377312393756
