corpus,window,draw,D_CE_pp,D_UAR_pp,J_pp,T_seen_ce_uar,T_unseen_ce_uar,T_seen_uar_uar,T_unseen_uar_uar,last_window_outer_uar,ce_disagreement,uar_disagreement
subesco,10,19,0.0,1.0714285714285707,-1.0714285714285707,51.78571428571429,51.78571428571429,51.42857142857142,50.357142857142854,45.0,0.2,0.4
subesco,10,20,1.4285714285714293,-0.35714285714285554,1.7857142857142847,38.21428571428571,36.785714285714285,41.42857142857143,41.78571428571429,44.28571428571429,0.4,0.6
subesco,10,21,6.7857142857142865,-1.0714285714285707,7.857142857142857,43.57142857142857,36.78571428571429,41.07142857142857,42.142857142857146,37.5,0.8,0.6
subesco,10,22,2.5,-1.4210854715202005e-15,2.5000000000000013,48.21428571428571,45.71428571428571,42.857142857142854,42.857142857142854,47.5,0.6,0.8
subesco,10,23,3.571428571428574,-2.8571428571428568,6.428571428571431,47.142857142857146,43.57142857142857,46.07142857142857,48.92857142857143,46.07142857142857,1.0,0.6
subesco,12,0,-1.7857142857142834,1.7857142857142847,-3.571428571428568,48.57142857142858,50.357142857142854,49.28571428571429,47.5,44.28571428571429,0.4,0.8
subesco,12,1,7.499999999999998,-1.7857142857142834,9.285714285714281,46.785714285714285,39.28571428571429,46.78571428571429,48.57142857142857,48.92857142857143,1.0,0.6
subesco,12,2,1.428571428571432,-1.0714285714285707,2.5000000000000027,45.714285714285715,44.285714285714285,46.07142857142857,47.142857142857146,44.642857142857146,0.8,0.4
subesco,12,3,2.8571428571428554,-1.0714285714285723,3.928571428571428,42.857142857142854,40.0,43.214285714285715,44.28571428571429,45.0,0.8,0.2
subesco,12,4,7.1428571428571415,-2.8571428571428528,9.999999999999995,51.07142857142857,43.92857142857143,48.92857142857143,51.78571428571429,50.71428571428571,0.8,0.8
subesco,12,5,0.35714285714285693,0.7142857142857167,-0.35714285714285976,46.78571428571429,46.42857142857143,46.78571428571429,46.07142857142857,43.57142857142857,0.2,0.6
subesco,12,6,2.5,2.5,0.0,47.142857142857146,44.642857142857146,48.57142857142857,46.07142857142857,46.07142857142857,0.8,0.2
subesco,12,7,3.214285714285714,0.7142857142857124,2.5000000000000013,47.857142857142854,44.642857142857146,46.785714285714285,46.07142857142857,47.857142857142854,0.4,0.4
subesco,12,8,2.5000000000000013,-0.7142857142857153,3.2142857142857166,43.57142857142857,41.07142857142857,43.92857142857143,44.642857142857146,46.07142857142857,0.6,0.4
