corpus,model,protocol,speaker_id,status,reason,n_required_seeds,n_complete_seeds,n_utterances_per_seed,uar_seed_mean,accuracy_seed_mean,macro_f1_seed_mean
cremad,resnet_se,groupkfold,1091,complete,,3,3,82,0.42923280423280419,0.42276422764227645,0.39408249309149879
cremad,resnet_se,loso,1001,complete,,3,3,82,0.44708994708994704,0.43902439024390244,0.39481621124875854
cremad,resnet_se,loso,1002,complete,,3,3,81,0.41197691197691194,0.4238683127572016,0.41049501474584577
cremad,resnet_se,loso,1003,complete,,3,3,82,0.68981481481481488,0.69105691056910568,0.6896540331481984
cremad,resnet_se,loso,1004,complete,,3,3,82,0.58597883597883604,0.58943089430894313,0.56327307582839314
cremad,resnet_se,loso,1005,complete,,3,3,82,0.5178571428571429,0.51219512195121952,0.49534768550513264
cremad,resnet_se,loso,1006,complete,,3,3,82,0.57804232804232802,0.56910569105691067,0.57561912251428382
cremad,resnet_se,loso,1007,complete,,3,3,82,0.54894179894179895,0.54471544715447162,0.49544612588056341
cremad,resnet_se,loso,1008,complete,,3,3,76,0.5310800310800311,0.52192982456140358,0.49023792737631894
cremad,resnet_se,loso,1009,complete,,3,3,76,0.65268065268065278,0.64912280701754388,0.65170835451342768
cremad,resnet_se,loso,1010,complete,,3,3,82,0.669973544973545,0.66666666666666663,0.6586237730440424
cremad,resnet_se,loso,1011,complete,,3,3,82,0.71362433862433861,0.70731707317073178,0.69856544568644152
cremad,resnet_se,loso,1012,complete,,3,3,82,0.69841269841269848,0.69512195121951226,0.69109640372613723
cremad,resnet_se,loso,1013,complete,,3,3,82,0.68452380952380942,0.67886178861788615,0.66550089112891042
cremad,resnet_se,loso,1014,complete,,3,3,82,0.6236772486772485,0.63414634146341464,0.60797134867737868
cremad,resnet_se,loso,1015,complete,,3,3,82,0.58333333333333337,0.58130081300813019,0.57325518251877661
cremad,resnet_se,loso,1016,complete,,3,3,82,0.56415343915343907,0.55691056910569114,0.53865005146035683
cremad,resnet_se,loso,1017,complete,,3,3,82,0.53108465608465616,0.52439024390243905,0.4932073274449435
cremad,resnet_se,loso,1018,complete,,3,3,82,0.77777777777777768,0.77235772357723587,0.76721369374288007
cremad,resnet_se,loso,1019,complete,,3,3,76,0.62509712509712512,0.61842105263157887,0.59206282832299861
cremad,resnet_se,loso,1020,complete,,3,3,82,0.71164021164021152,0.70731707317073178,0.71320840467766999
cremad,resnet_se,loso,1021,complete,,3,3,82,0.58134920634920639,0.57317073170731714,0.56044719795132225
cremad,resnet_se,loso,1022,complete,,3,3,82,0.66798941798941802,0.66666666666666663,0.65317056628174675
