corpus,model,protocol,seed,speaker_id,status,reason,n_utterances,uar,accuracy,macro_f1
ravdess,cnn,loso,0,22,complete,,60,0.375,0.38333333333333336,0.33966450216450217
ravdess,cnn,loso,0,23,complete,,60,0.40625,0.43333333333333335,0.33437028657616896
ravdess,cnn,loso,0,24,complete,,60,0.71875,0.69999999999999996,0.64590089240824533
ravdess,cnn,loso,1,01,complete,,60,0.578125,0.55000000000000004,0.50318181818181817
ravdess,cnn,loso,1,02,complete,,60,0.578125,0.56666666666666665,0.55364808802308796
ravdess,cnn,loso,1,03,complete,,60,0.484375,0.48333333333333334,0.3972222222222222
ravdess,cnn,loso,1,04,complete,,60,0.40625,0.36666666666666664,0.37552170052170053
ravdess,cnn,loso,1,05,complete,,60,0.375,0.38333333333333336,0.31628267565767565
ravdess,cnn,loso,1,06,complete,,60,0.515625,0.5,0.428134284016637
ravdess,cnn,loso,1,07,complete,,60,0.484375,0.51666666666666672,0.46906989340358568
ravdess,cnn,loso,1,08,complete,,60,0.6875,0.68333333333333335,0.6667833800186741
ravdess,cnn,loso,1,09,complete,,60,0.25,0.25,0.19603174603174603
ravdess,cnn,loso,1,10,complete,,60,0.390625,0.40000000000000002,0.38340369640679239
ravdess,cnn,loso,1,11,complete,,60,0.5,0.5,0.44240487861811389
ravdess,cnn,loso,1,12,complete,,60,0.53125,0.51666666666666672,0.47634996582364997
ravdess,cnn,loso,1,13,complete,,60,0.359375,0.33333333333333331,0.27204861111111112
ravdess,cnn,loso,1,14,complete,,60,0.46875,0.48333333333333334,0.4077296181630547
ravdess,cnn,loso,1,15,complete,,60,0.484375,0.45000000000000001,0.44188572865043452
ravdess,cnn,loso,1,16,complete,,60,0.484375,0.51666666666666672,0.42851921470342519
ravdess,cnn,loso,1,17,complete,,60,0.453125,0.43333333333333335,0.39675648307361866
ravdess,cnn,loso,1,18,complete,,60,0.40625,0.38333333333333336,0.34762426900584797
