corpus,model,contrast,protocol_a,protocol_b,speaker_id,status,reason,n_required_seeds_per_protocol,uar_difference,accuracy_difference,macro_f1_difference
cremad,transformer,GL,groupkfold,loso,1063,complete,,3,-0.011243386243386277,-0.0081300813008129413,0.007780947748697975
cremad,transformer,GL,groupkfold,loso,1064,complete,,3,-0.037037037037036979,-0.036585365853658569,-0.020438572980999492
cremad,transformer,GL,groupkfold,loso,1065,complete,,3,-0.038359788359788372,-0.04065040650406504,-0.057899996485270389
cremad,transformer,GL,groupkfold,loso,1066,complete,,3,-0.05555555555555558,-0.052845528455284563,-0.063634056120326743
cremad,transformer,GL,groupkfold,loso,1067,complete,,3,-0.066137566137566217,-0.069105691056910612,-0.068795363848747793
cremad,transformer,GL,groupkfold,loso,1068,complete,,3,-0.0046296296296296502,-0.0081300813008130524,-0.0064302223722356722
cremad,transformer,GL,groupkfold,loso,1069,complete,,3,-0.045634920634920528,-0.044715447154471621,-0.047447208728761514
cremad,transformer,GL,groupkfold,loso,1070,complete,,3,-0.01256613756613767,-0.012195121951219523,-0.0085371328185723794
cremad,transformer,GL,groupkfold,loso,1071,complete,,3,-0.066137566137566162,-0.065040650406503975,-0.072642525920619316
cremad,transformer,GL,groupkfold,loso,1072,complete,,3,-0.060846560846560926,-0.060975609756097615,-0.070519442123639531
cremad,transformer,GL,groupkfold,loso,1073,complete,,3,-0.061507936507936567,-0.06097560975609756,-0.054803032200461288
cremad,transformer,GL,groupkfold,loso,1074,complete,,3,-0.011243386243386277,-0.012195121951219412,-0.015147405764569521
cremad,transformer,GL,groupkfold,loso,1075,complete,,3,-0.023809523809523725,-0.020325203252032575,-0.027585327293692063
cremad,transformer,GL,groupkfold,loso,1076,complete,,3,0.00072150072150067857,0.0041152263374485409,-0.0053759717490400316
cremad,transformer,GL,groupkfold,loso,1077,complete,,3,-0.050264550264550234,-0.052845528455284507,-0.038492605930062262
cremad,transformer,GL,groupkfold,loso,1078,complete,,3,-0.05092592592592593,-0.052845528455284452,-0.068046968884194925
cremad,transformer,GL,groupkfold,loso,1079,complete,,3,-0.0059523809523809867,-0.0040650406504064707,-0.019420990601042021
cremad,transformer,GL,groupkfold,loso,1080,complete,,3,-0.015211640211640121,-0.016260162601625994,-0.015934650715283549
cremad,transformer,GL,groupkfold,loso,1081,complete,,3,-0.059523809523809645,-0.056910569105691144,-0.068013806088633499
cremad,transformer,GL,groupkfold,loso,1082,complete,,3,-0.046957671957672004,-0.048780487804878064,-0.044196320296282898
cremad,transformer,GL,groupkfold,loso,1083,complete,,3,-0.056878306878306861,-0.056910569105691144,-0.059598569681395985
cremad,transformer,GL,groupkfold,loso,1084,complete,,3,-0.0066137566137565718,-0.0040650406504065262,0.0024039302619067726
cremad,transformer,GL,groupkfold,loso,1085,complete,,3,0.01256613756613767,0.012195121951219523,0.020396357850164248
cremad,transformer,GL,groupkfold,loso,1086,complete,,3,-0.054894179894179884,-0.052845528455284563,-0.037910823323765552
cremad,transformer,GL,groupkfold,loso,1087,complete,,3,-0.048941798941798953,-0.048780487804878037,-0.045791183782237066
cremad,transformer,GL,groupkfold,loso,1088,complete,,3,-0.013227513227513255,-0.012195121951219634,-0.0068829661592770264
cremad,transformer,GL,groupkfold,loso,1089,complete,,3,-0.031746031746031689,-0.028455284552845517,-0.049727036387278767
cremad,transformer,GL,groupkfold,loso,1090,complete,,3,0.0033068783068782581,0.0040650406504065817,0.011809254326785923
cremad,transformer,GL,groupkfold,loso,1091,complete,,3,-0.047619047619047561,-0.048780487804877981,-0.036784795317024666
cremad,fno,RG,random,groupkfold,1001,complete,,3,0.026455026455026509,0.024390243902439046,0.044945938170712352
cremad,fno,RG,random,groupkfold,1002,complete,,3,-0.010101010101010055,-0.0082304526748970819,-0.0031057173928198401
cremad,fno,RG,random,groupkfold,1003,complete,,3,0.014550264550264647,0.016260162601625883,0.015961034454061052
