level,model,cell,speaker,coverage,accepted_error,n_r,gap_coverage,gap_accepted_error,coverage_secondary,accepted_error_secondary,gap_accepted_error_secondary
subesco_980,cnn,GG,F06,0.9387755102040817,0.38364624505928857,3,0.1377551020408164,-0.12378475281756919,0.16326530612244897,0.16666666666666666,-0.1043859649122807
subesco_980,cnn,GG,F07,0.8095238095238096,0.498063756953359,3,0.008503401360544283,-0.04970694368358364,0.14285714285714288,0.3572649572649573,0.09575702075702075
subesco_980,cnn,GG,F08,0.8095238095238096,0.5545650301464254,3,0.008503401360544283,0.07685802377699875,0.19047619047619047,nan,nan
subesco_980,cnn,GG,F09,0.7346938775510203,0.517921146953405,3,-0.06632653061224485,-0.006494988927699026,0.006802721088435374,nan,nan
subesco_980,cnn,GG,F10,0.8707482993197279,0.6835594676944711,3,0.0697278911564626,0.1379119093080593,0.054421768707483,nan,nan
subesco_980,cnn,GG,M01,0.9115646258503401,0.7164031620553359,3,0.1105442176870749,0.1983564529258243,0.19727891156462585,nan,nan
subesco_980,cnn,GG,M02,0.7823129251700679,0.5467276261789906,3,-0.018707482993197244,-0.049875346220160134,0.0,nan,nan
subesco_980,cnn,GG,M03,0.8027210884353742,0.575046904315197,3,0.001700680272108901,0.07186219093940083,0.09523809523809523,nan,nan
subesco_980,cnn,GG,M04,0.7074829931972789,0.6271929824561403,3,-0.09353741496598633,0.09853056207397475,0.14965986394557826,nan,nan
subesco_980,cnn,GG,M05,0.7755102040816326,0.5764972289362533,3,-0.025510204081632588,0.09029765356470343,0.12244897959183675,0.6666666666666666,0.394980443285528
subesco_980,cnn,GG,M06,0.891156462585034,0.6309724429036866,3,0.09013605442176875,0.11080259152364413,0.14285714285714285,nan,nan
subesco_980,cnn,GG,M07,0.7619047619047619,0.5190058479532164,3,-0.039115646258503355,-0.03513427943531864,0.08163265306122448,nan,nan
subesco_980,cnn,GG,M08,0.8163265306122449,0.7002567394094994,3,0.015306122448979664,0.20556459503582633,0.11564625850340136,nan,nan
subesco_980,cnn,GG,M09,0.8571428571428571,0.6273504273504273,3,0.05612244897959188,0.09656486471773096,0.28571428571428575,0.3118580765639589,0.04137578108166343
subesco_980,cnn,GG,M10,0.7959183673469387,0.46998371998371996,3,-0.005102040816326481,-0.01621585538782992,0.21768707482993196,0.4527777777777778,0.1836556569607417
subesco_980,ridge_hubert_base,GR,F01,0.7891156462585034,0.41203703703703703,3,-0.011904761904761826,-0.1399799481009672,0.06122448979591837,nan,nan
subesco_980,ridge_hubert_base,GR,F02,0.8435374149659864,0.5930735930735931,3,0.042517006802721115,0.03681032343452728,0.05442176870748299,0.2333333333333333,-0.0312169312169312
subesco_980,ridge_hubert_base,GR,F03,0.8231292517006802,0.5965730176256492,3,0.022108843537415008,0.04455603248764495,0.1020408163265306,0.373015873015873,0.1069295101553166
subesco_980,ridge_hubert_base,GR,F04,0.8639455782312925,0.5583241048357328,3,0.06292517006802723,0.010553404198790103,0.047619047619047616,0.4166666666666667,0.12976190476190474
subesco_980,ridge_hubert_base,GR,F05,0.7687074829931974,0.5227513227513227,3,-0.03231292517006797,-0.03775823138880461,0.05442176870748299,nan,nan
subesco_980,ridge_hubert_base,GR,F06,0.8435374149659864,0.6128532713898568,3,0.042517006802721156,0.07357513975503722,0.17687074829931973,0.4074675324675325,0.1301377833635898
subesco_980,ridge_hubert_base,GR,F07,0.8503401360544217,0.49651567944250874,3,0.049319727891156497,-0.06611701694814943,0.13605442176870747,0.21527777777777776,-0.08564814814814815
subesco_980,ridge_hubert_base,GR,F08,0.8231292517006802,0.5767094017094018,3,0.022108843537415008,0.06715526158201317,0.1292517006802721,0.3282051282051282,0.15267321331151118
subesco_980,ridge_hubert_base,GR,F09,0.7482993197278911,0.6471216227313789,3,-0.052721088435374076,0.09085835309231305,0.013605442176870748,nan,nan
subesco_980,ridge_hubert_base,GR,F10,0.8299319727891157,0.6237240829346092,3,0.02891156462585039,0.09718480480297446,0.108843537414966,nan,nan
subesco_980,ridge_hubert_base,GR,M01,0.8231292517006802,0.5764742014742015,3,0.022108843537415008,0.005348936081420175,0.16326530612244897,0.2833333333333333,-0.015476190476190468
subesco_980,ridge_hubert_base,GR,M02,0.8367346938775512,0.5528648857917151,3,0.035714285714285775,0.0008479006537108758,0.03401360544217687,nan,nan
subesco_980,ridge_hubert_base,GR,M03,0.8095238095238096,0.506954181372786,3,0.008503401360544246,-0.023831381259910356,0.21088435374149658,0.19775132275132276,-0.07759429936849292
subesco_980,ridge_hubert_base,GR,M04,0.836734693877551,0.7162674127178411,3,0.03571428571428573,0.19609756133779865,0.17006802721088435,nan,nan
subesco_980,ridge_hubert_base,GR,M05,0.7278911564625851,0.706045751633987,3,-0.07312925170068023,0.17526018900129056,0.08163265306122448,nan,nan
subesco_980,ridge_hubert_base,GR,M06,0.7959183673469387,0.5617309038361671,3,-0.005102040816326518,0.043684194706655334,0.10204081632653061,0.3194444444444444,0.0467443249701314
subesco_980,ridge_hubert_base,GR,M07,0.8843537414965986,0.6011042097998619,3,0.08333333333333337,0.02997894440708067,0.1768707482993197,0.49607843137254903,0.19726890756302526
