candidate_id,first_seen_at,discovery_source,search_ids,repo_url,canonical_repo_url,paper_title,paper_url,target_datasets,repo_relation,screening_status,exclusion_code,exclusion_reason,duplicate_of,notes
C051,2026-08-10T14:53:50-04:00,GitHubAPI,RC_GH_RAV_1|RC_GH_RAV_2|IE_GH_E_01|IE_GH_E_02,https://github.com/Baibhav-nag/SER-using-MLP-and-CNN,https://github.com/Baibhav-nag/SER-using-MLP-and-CNN,,,RAVDESS|EmoDB,unknown,pending,,,,raw GitHub repository-search hit; GH-RAV-1 rank=17; raw GitHub repository-search hit; GH-RAV-2 rank=25
C052,2026-08-10T14:53:50-04:00,GitHubAPI,RC_GH_RAV_1|RC_GH_RAV_2,https://github.com/jayanth-mkv/speech-emotion-recognition-api-using-fastapi,https://github.com/jayanth-mkv/speech-emotion-recognition-api-using-fastapi,,,RAVDESS,unknown,pending,,,,raw GitHub repository-search hit; GH-RAV-1 rank=20; raw GitHub repository-search hit; GH-RAV-2 rank=30
C053,2026-08-10T14:53:50-04:00,GitHubAPI,RC_GH_RAV_1|RC_GH_RAV_2|IE_GH_I_01|IE_GH_I_02,https://github.com/Dalia-Sher/Speech-Emotion-Recognition-using-BLSTM-with-Attention,https://github.com/Dalia-Sher/Speech-Emotion-Recognition-using-BLSTM-with-Attention,Study of Speech Emotion Recognition Using BLSTM with Attention,https://ieeexplore.ieee.org/document/10289866,RAVDESS|IEMOCAP,official,include,,,,raw GitHub repository-search hit; GH-RAV-1 rank=21; raw GitHub repository-search hit; GH-RAV-2 rank=36 || P0 static audit included at 72975e8f90799a40c98e4170f0364717c693b95a; batch=audit_batch_rc.csv
C054,2026-08-10T14:53:50-04:00,GitHubAPI,RC_GH_RAV_1|RC_GH_RAV_2,https://github.com/PreetamTeja/SpeechEmotionRecognition,https://github.com/PreetamTeja/SpeechEmotionRecognition,,,RAVDESS,unknown,pending,,,,raw GitHub repository-search hit; GH-RAV-1 rank=22; raw GitHub repository-search hit; GH-RAV-2 rank=42
C055,2026-08-10T14:53:50-04:00,GitHubAPI,RC_GH_RAV_1|RC_GH_RAV_2|RC_GH_CRE_1|RC_GH_CRE_2,https://github.com/suvro5495/Speech-Emotion-Recognition-SER-,https://github.com/suvro5495/Speech-Emotion-Recognition-SER-,,,RAVDESS|CREMA-D,unknown,pending,,,,raw GitHub repository-search hit; GH-RAV-1 rank=23; raw GitHub repository-search hit; GH-RAV-2 rank=33; raw GitHub repository-search hit; GH-CRE-1 rank=1; raw GitHub repository-search hit; GH-CRE-2 rank=1
C056,2026-08-10T14:53:50-04:00,GitHubAPI,RC_GH_RAV_1|RC_GH_RAV_2,https://github.com/shengwei-peng/Speech-Emotion-Recognition,https://github.com/shengwei-peng/Speech-Emotion-Recognition,,,RAVDESS,unknown,pending,,,,raw GitHub repository-search hit; GH-RAV-1 rank=24; raw GitHub repository-search hit; GH-RAV-2 rank=34
C057,2026-08-10T14:53:50-04:00,GitHubAPI,RC_GH_RAV_1|RC_GH_RAV_2,https://github.com/KangHyunWook/Speech-Emotion-Recognition-on-RAVDESS-dataset,https://github.com/KangHyunWook/Speech-Emotion-Recognition-on-RAVDESS-dataset,,,RAVDESS,unknown,pending,,,,raw GitHub repository-search hit; GH-RAV-1 rank=25; raw GitHub repository-search hit; GH-RAV-2 rank=32
C058,2026-08-10T14:53:50-04:00,GitHubAPI,RC_GH_RAV_1|RC_GH_RAV_2,https://github.com/Ratndeepk/emotion_detection_in_audio,https://github.com/Ratndeepk/emotion_detection_in_audio,,,RAVDESS,unknown,pending,,,,raw GitHub repository-search hit; GH-RAV-1 rank=26; raw GitHub repository-search hit; GH-RAV-2 rank=23
C059,2026-08-10T14:53:50-04:00,GitHubAPI,RC_GH_RAV_1|RC_GH_RAV_2,https://github.com/VishalSingh0401/Speech_Emotion_Recognition,https://github.com/VishalSingh0401/Speech_Emotion_Recognition,,,RAVDESS,unknown,pending,,,,raw GitHub repository-search hit; GH-RAV-1 rank=27; raw GitHub repository-search hit; GH-RAV-2 rank=49
C060,2026-08-10T14:53:50-04:00,GitHubAPI,RC_GH_RAV_1|RC_GH_RAV_2,https://github.com/prashant-2004/Speech-Emotion-Recognition-Model,https://github.com/prashant-2004/Speech-Emotion-Recognition-Model,,,RAVDESS,unknown,pending,,,,raw GitHub repository-search hit; GH-RAV-1 rank=28; raw GitHub repository-search hit; GH-RAV-2 rank=40
C061,2026-08-10T14:53:50-04:00,GitHubAPI,RC_GH_RAV_1|RC_GH_RAV_2,https://github.com/hussein98912/Speech-Emotion-Recognition,https://github.com/hussein98912/Speech-Emotion-Recognition,,,RAVDESS,unknown,pending,,,,raw GitHub repository-search hit; GH-RAV-1 rank=29; raw GitHub repository-search hit; GH-RAV-2 rank=60
C062,2026-08-10T14:53:50-04:00,GitHubAPI,RC_GH_RAV_1|RC_GH_RAV_2,https://github.com/xJiang30/Speech-Emotion-Recognition-using-LSTM,https://github.com/xJiang30/Speech-Emotion-Recognition-using-LSTM,,,RAVDESS,unknown,pending,,,,raw GitHub repository-search hit; GH-RAV-1 rank=30; raw GitHub repository-search hit; GH-RAV-2 rank=51
C063,2026-08-10T14:53:50-04:00,GitHubAPI,RC_GH_RAV_1|RC_GH_RAV_2,https://github.com/Ls2lax/Speech-Emotion-Recognition,https://github.com/Ls2lax/Speech-Emotion-Recognition,,,RAVDESS,unknown,pending,,,,raw GitHub repository-search hit; GH-RAV-1 rank=31; raw GitHub repository-search hit; GH-RAV-2 rank=45
C064,2026-08-10T14:53:50-04:00,GitHubAPI,RC_GH_RAV_1|RC_GH_RAV_2,https://github.com/YanviAroraCS/Speech-emotion-recognition-system,https://github.com/YanviAroraCS/Speech-emotion-recognition-system,,,RAVDESS,unknown,pending,,,,raw GitHub repository-search hit; GH-RAV-1 rank=32; raw GitHub repository-search hit; GH-RAV-2 rank=44
C065,2026-08-10T14:53:50-04:00,GitHubAPI,RC_GH_RAV_1|RC_GH_RAV_2,https://github.com/hrid0yyy/Speech-Emotion-Recognition,https://github.com/hrid0yyy/Speech-Emotion-Recognition,,,RAVDESS,unknown,pending,,,,raw GitHub repository-search hit; GH-RAV-1 rank=33; raw GitHub repository-search hit; GH-RAV-2 rank=55
C066,2026-08-10T14:53:50-04:00,GitHubAPI,RC_GH_RAV_1,https://github.com/vikrant-3009/SpeechEmotionRecognition,https://github.com/vikrant-3009/SpeechEmotionRecognition,,,RAVDESS,unknown,pending,,,,raw GitHub repository-search hit; GH-RAV-1 rank=34
