fold,rotation,draw,policy,encoder,pool_scope,n_evaluation_people,n_candidate_people,n_selected_people,nn1_mean,nn1_max,nn3_mean,selected_global_loso_distance_mean,pool_global_loso_distance_mean,selected_outlier_mean_percentile
0,3,2,U,ecapa,including_selected,61,61,24,0.3674054713074222,0.7826216402789289,0.5685470391140491,0.8423154295763101,0.8465078395495738,0.47404371584699456
0,3,2,U,ecapa,excluding_selected,37,61,24,0.6057225337771014,0.7826216402789289,0.6690608290499805,0.8423154295763101,0.8465078395495738,0.47404371584699456
0,3,0,C,xvector,including_selected,61,61,24,0.011224661482612001,0.029760973852043793,0.020297411318083797,0.05293893750345601,0.050094426185703145,0.6222677595628415
0,3,0,C,xvector,excluding_selected,37,61,24,0.01850552298484681,0.029760973852043793,0.02258805143528146,0.05293893750345601,0.050094426185703145,0.6222677595628415
0,3,0,R,xvector,including_selected,61,61,24,0.011128238267010043,0.027231509610661342,0.018756788816068088,0.050243935291030085,0.050094426185703145,0.5013661202185793
0,3,0,R,xvector,excluding_selected,37,61,24,0.018346554980746287,0.027231509610661342,0.02133489063285528,0.050243935291030085,0.050094426185703145,0.5013661202185793
0,3,0,U,xvector,including_selected,61,61,24,0.01223889685427323,0.03443569127331447,0.01919266219668173,0.04816500410606247,0.050094426185703145,0.4316939890710383
0,3,0,U,xvector,excluding_selected,37,61,24,0.020177640759747758,0.03443569127331447,0.02283640415122876,0.04816500410606247,0.050094426185703145,0.4316939890710383
0,3,1,C,xvector,including_selected,61,61,24,0.011224661482612001,0.029760973852043793,0.020297411318083797,0.05293893750345601,0.050094426185703145,0.6222677595628415
0,3,1,C,xvector,excluding_selected,37,61,24,0.01850552298484681,0.029760973852043793,0.02258805143528146,0.05293893750345601,0.050094426185703145,0.6222677595628415
0,3,1,R,xvector,including_selected,61,61,24,0.011128238267010043,0.027231509610661342,0.018756788816068088,0.050243935291030085,0.050094426185703145,0.5013661202185793
0,3,1,R,xvector,excluding_selected,37,61,24,0.018346554980746287,0.027231509610661342,0.02133489063285528,0.050243935291030085,0.050094426185703145,0.5013661202185793
0,3,1,U,xvector,including_selected,61,61,24,0.012072364076032148,0.028367471739623173,0.019961758149313214,0.05188151460273508,0.050094426185703145,0.5846994535519126
0,3,1,U,xvector,excluding_selected,37,61,24,0.019903086719944892,0.028367471739623173,0.022927230513342625,0.05188151460273508,0.050094426185703145,0.5846994535519126
0,3,2,C,xvector,including_selected,61,61,24,0.011224661482612001,0.029760973852043793,0.020297411318083797,0.05293893750345601,0.050094426185703145,0.6222677595628415
0,3,2,C,xvector,excluding_selected,37,61,24,0.01850552298484681,0.029760973852043793,0.02258805143528146,0.05293893750345601,0.050094426185703145,0.6222677595628415
0,3,2,R,xvector,including_selected,61,61,24,0.011128238267010043,0.027231509610661342,0.018756788816068088,0.050243935291030085,0.050094426185703145,0.5013661202185793
0,3,2,R,xvector,excluding_selected,37,61,24,0.018346554980746287,0.027231509610661342,0.02133489063285528,0.050243935291030085,0.050094426185703145,0.5013661202185793
0,3,2,U,xvector,including_selected,61,61,24,0.012457333151150591,0.038088398627244224,0.019267388847359672,0.0482096964814823,0.050094426185703145,0.4323770491803279
0,3,2,U,xvector,excluding_selected,37,61,24,0.020537765465410432,0.038088398627244224,0.023077404829396735,0.0482096964814823,0.050094426185703145,0.4323770491803279
0,4,0,C,ecapa,including_selected,59,59,24,0.3389211436930218,0.6980257923835053,0.5896851681624093,0.8614191284079326,0.8407224658851629,0.6765536723163841
0,4,0,C,ecapa,excluding_selected,35,59,24,0.571324213653951,0.6980257923835053,0.6507877160416218,0.8614191284079326,0.8407224658851629,0.6765536723163841
0,4,0,R,ecapa,including_selected,59,59,24,0.3175463188066493,0.6552613827824494,0.5608555169439585,0.8445810206100502,0.8407224658851629,0.53954802259887
0,4,0,R,ecapa,excluding_selected,35,59,24,0.5352923659883516,0.6552613827824494,0.6330817372235954,0.8445810206100502,0.8407224658851629,0.53954802259887
0,4,0,U,ecapa,including_selected,59,59,24,0.36006210748866513,0.8002183331026967,0.5564619316599305,0.835645577890428,0.8407224658851629,0.4491525423728813
0,4,0,U,ecapa,excluding_selected,35,59,24,0.6069618383380355,0.8002183331026967,0.6596939505973652,0.835645577890428,0.8407224658851629,0.4491525423728813
0,4,1,C,ecapa,including_selected,59,59,24,0.3389211436930218,0.6980257923835053,0.5896851681624093,0.8614191284079326,0.8407224658851629,0.6765536723163841
0,4,1,C,ecapa,excluding_selected,35,59,24,0.571324213653951,0.6980257923835053,0.6507877160416218,0.8614191284079326,0.8407224658851629,0.6765536723163841
0,4,1,R,ecapa,including_selected,59,59,24,0.3175463188066493,0.6552613827824494,0.5608555169439585,0.8445810206100502,0.8407224658851629,0.53954802259887
0,4,1,R,ecapa,excluding_selected,35,59,24,0.5352923659883516,0.6552613827824494,0.6330817372235954,0.8445810206100502,0.8407224658851629,0.53954802259887
0,4,1,U,ecapa,including_selected,59,59,24,0.3673689621055507,0.7719681391166875,0.570999170748359,0.8425795776868874,0.8407224658851629,0.5190677966101694
0,4,1,U,ecapa,excluding_selected,35,59,24,0.6192791075493569,0.7719681391166875,0.6740265929884011,0.8425795776868874,0.8407224658851629,0.5190677966101694
0,4,2,C,ecapa,including_selected,59,59,24,0.3389211436930218,0.6980257923835053,0.5896851681624093,0.8614191284079326,0.8407224658851629,0.6765536723163841
0,4,2,C,ecapa,excluding_selected,35,59,24,0.571324213653951,0.6980257923835053,0.6507877160416218,0.8614191284079326,0.8407224658851629,0.6765536723163841
0,4,2,R,ecapa,including_selected,59,59,24,0.3175463188066493,0.6552613827824494,0.5608555169439585,0.8445810206100502,0.8407224658851629,0.53954802259887
0,4,2,R,ecapa,excluding_selected,35,59,24,0.5352923659883516,0.6552613827824494,0.6330817372235954,0.8445810206100502,0.8407224658851629,0.53954802259887
0,4,2,U,ecapa,including_selected,59,59,24,0.36193498491813814,0.8063643432540981,0.5598556202538243,0.8364606982605635,0.8407224658851629,0.4788135593220339
0,4,2,U,ecapa,excluding_selected,35,59,24,0.61011897457629,0.8063643432540981,0.6589770753968165,0.8364606982605635,0.8407224658851629,0.4788135593220339
0,4,0,C,xvector,including_selected,59,59,24,0.010260335326616282,0.0274956567219089,0.019230788517281903,0.05160860147637112,0.04896684386088123,0.6016949152542372
0,4,0,C,xvector,excluding_selected,35,59,24,0.017295993836296018,0.0274956567219089,0.020746121943370315,0.05160860147637112,0.04896684386088123,0.6016949152542372
0,4,0,R,xvector,including_selected,59,59,24,0.010483562080386095,0.026517058493164214,0.01796691406994833,0.04907377760553796,0.04896684386088123,0.516949152542373
0,4,0,R,xvector,excluding_selected,35,59,24,0.017672290364079416,0.026517058493164214,0.020479393968697534,0.04907377760553796,0.04896684386088123,0.516949152542373
0,4,0,U,xvector,including_selected,59,59,24,0.011399955371856679,0.030164164936272164,0.01768223206674393,0.0488952072002537,0.04896684386088123,0.509180790960452
0,4,0,U,xvector,excluding_selected,35,59,24,0.019217067626844116,0.030164164936272164,0.02145166775198852,0.0488952072002537,0.04896684386088123,0.509180790960452
0,4,1,C,xvector,including_selected,59,59,24,0.010260335326616282,0.0274956567219089,0.019230788517281903,0.05160860147637112,0.04896684386088123,0.6016949152542372
0,4,1,C,xvector,excluding_selected,35,59,24,0.017295993836296018,0.0274956567219089,0.020746121943370315,0.05160860147637112,0.04896684386088123,0.6016949152542372
0,4,1,R,xvector,including_selected,59,59,24,0.010483562080386095,0.026517058493164214,0.01796691406994833,0.04907377760553796,0.04896684386088123,0.516949152542373
0,4,1,R,xvector,excluding_selected,35,59,24,0.017672290364079416,0.026517058493164214,0.020479393968697534,0.04907377760553796,0.04896684386088123,0.516949152542373
0,4,1,U,xvector,including_selected,59,59,24,0.011228233810717667,0.032768551181976635,0.018778105622848505,0.0491724770602879,0.04896684386088123,0.49858757062146886
0,4,1,U,xvector,excluding_selected,35,59,24,0.018927594138066925,0.032768551181976635,0.02162325599348952,0.0491724770602879,0.04896684386088123,0.49858757062146886
0,4,2,C,xvector,including_selected,59,59,24,0.010260335326616282,0.0274956567219089,0.019230788517281903,0.05160860147637112,0.04896684386088123,0.6016949152542372
