speaker,mean_uar_pp,nn3_distance,global_loso_mean_distance,n_contexts,references_per_context,draw0_uar_pp,draw1_uar_pp,draw2_uar_pp,human_plurality_uar_pp,human_intended_vote_share_pp,human_agreement_pp,unique_query_paths,unique_aligned_paths,query_sets_identical_across_draws,unique_query_prompts,draw_class_counts
1018,56.48148148148149,0.48258499657209886,0.8076587023684493,18.0,8.0,58.333333333333336,54.166666666666664,56.94444444444444,50.46296296296296,43.98809523809524,60.888197450697454,72,72,True,12,"[{""A"": 12, ""D"": 12, ""F"": 12, ""H"": 12, ""N"": 12, ""S"": 12}, {""A"": 12, ""D"": 12, ""F"": 12, ""H"": 12, ""N"": 12, ""S"": 12}, {""A"": 12, ""D"": 12, ""F"": 12, ""H"": 12, ""N"": 12, ""S"": 12}]"
1020,49.53703703703704,0.5802285185087599,0.825862631916666,18.0,8.0,38.888888888888886,62.5,47.22222222222223,54.629629629629626,44.02602413019079,59.806096681096676,72,72,True,12,"[{""A"": 12, ""D"": 12, ""F"": 12, ""H"": 12, ""N"": 12, ""S"": 12}, {""A"": 12, ""D"": 12, ""F"": 12, ""H"": 12, ""N"": 12, ""S"": 12}, {""A"": 12, ""D"": 12, ""F"": 12, ""H"": 12, ""N"": 12, ""S"": 12}]"
1021,40.74074074074075,0.5473525788774202,0.8068644484415748,18.0,8.0,38.88888888888889,41.66666666666667,41.66666666666667,37.5,36.08250160333494,63.45543730960398,72,72,True,12,"[{""A"": 12, ""D"": 12, ""F"": 12, ""H"": 12, ""N"": 12, ""S"": 12}, {""A"": 12, ""D"": 12, ""F"": 12, ""H"": 12, ""N"": 12, ""S"": 12}, {""A"": 12, ""D"": 12, ""F"": 12, ""H"": 12, ""N"": 12, ""S"": 12}]"
1022,38.888888888888886,0.641000168144548,0.8516317514497671,18.0,8.0,38.888888888888886,40.27777777777777,37.5,50.694444444444436,45.604808000641334,65.21785313451981,72,72,True,12,"[{""A"": 12, ""D"": 12, ""F"": 12, ""H"": 12, ""N"": 12, ""S"": 12}, {""A"": 12, ""D"": 12, ""F"": 12, ""H"": 12, ""N"": 12, ""S"": 12}, {""A"": 12, ""D"": 12, ""F"": 12, ""H"": 12, ""N"": 12, ""S"": 12}]"
1023,43.055555555555564,0.5671799186160151,0.8037892805670042,18.0,8.0,41.66666666666667,41.66666666666667,45.83333333333333,48.61111111111111,42.085537918871246,65.8316798941799,72,72,True,12,"[{""A"": 12, ""D"": 12, ""F"": 12, ""H"": 12, ""N"": 12, ""S"": 12}, {""A"": 12, ""D"": 12, ""F"": 12, ""H"": 12, ""N"": 12, ""S"": 12}, {""A"": 12, ""D"": 12, ""F"": 12, ""H"": 12, ""N"": 12, ""S"": 12}]"
1024,32.870370370370374,0.5788078418892314,0.8404560971013673,18.0,8.0,34.72222222222223,27.77777777777778,36.11111111111111,34.72222222222223,36.02768759018759,62.05968414301748,72,72,True,12,"[{""A"": 12, ""D"": 12, ""F"": 12, ""H"": 12, ""N"": 12, ""S"": 12}, {""A"": 12, ""D"": 12, ""F"": 12, ""H"": 12, ""N"": 12, ""S"": 12}, {""A"": 12, ""D"": 12, ""F"": 12, ""H"": 12, ""N"": 12, ""S"": 12}]"
1025,32.870370370370374,0.5263294609542458,0.804079616672325,18.0,8.0,26.38888888888889,33.33333333333333,38.88888888888889,47.916666666666664,39.465087381754046,62.0651455026455,72,72,True,12,"[{""A"": 12, ""D"": 12, ""F"": 12, ""H"": 12, ""N"": 12, ""S"": 12}, {""A"": 12, ""D"": 12, ""F"": 12, ""H"": 12, ""N"": 12, ""S"": 12}, {""A"": 12, ""D"": 12, ""F"": 12, ""H"": 12, ""N"": 12, ""S"": 12}]"
1026,50.46296296296296,0.5843036311295816,0.7799812871722943,18.0,8.0,52.77777777777778,50.0,48.61111111111111,41.66666666666666,39.44078683662017,59.46679092512426,72,72,True,12,"[{""A"": 12, ""D"": 12, ""F"": 12, ""H"": 12, ""N"": 12, ""S"": 12}, {""A"": 12, ""D"": 12, ""F"": 12, ""H"": 12, ""N"": 12, ""S"": 12}, {""A"": 12, ""D"": 12, ""F"": 12, ""H"": 12, ""N"": 12, ""S"": 12}]"
1027,51.85185185185185,0.585091253553209,0.8241515126588618,18.0,8.0,50.0,50.0,55.55555555555556,43.74999999999999,40.590929132595804,64.07738095238096,72,72,True,12,"[{""A"": 12, ""D"": 12, ""F"": 12, ""H"": 12, ""N"": 12, ""S"": 12}, {""A"": 12, ""D"": 12, ""F"": 12, ""H"": 12, ""N"": 12, ""S"": 12}, {""A"": 12, ""D"": 12, ""F"": 12, ""H"": 12, ""N"": 12, ""S"": 12}]"
1028,42.129629629629626,0.5384451580796653,0.8180664931762632,18.0,8.0,40.27777777777777,48.611111111111114,37.5,65.74074074074073,54.63549182299183,68.16418149751483,72,72,True,12,"[{""A"": 12, ""D"": 12, ""F"": 12, ""H"": 12, ""N"": 12, ""S"": 12}, {""A"": 12, ""D"": 12, ""F"": 12, ""H"": 12, ""N"": 12, ""S"": 12}, {""A"": 12, ""D"": 12, ""F"": 12, ""H"": 12, ""N"": 12, ""S"": 12}]"
