sequence,unit_id,corpus,model,protocol,seed,outer_fold,status
251,ravdess__transformer__loso__s0__f016,ravdess,transformer,loso,0,16,success
252,ravdess__transformer__loso__s0__f017,ravdess,transformer,loso,0,17,success
253,ravdess__transformer__loso__s0__f018,ravdess,transformer,loso,0,18,success
254,ravdess__transformer__loso__s0__f019,ravdess,transformer,loso,0,19,success
255,ravdess__transformer__loso__s0__f020,ravdess,transformer,loso,0,20,success
256,ravdess__transformer__loso__s0__f021,ravdess,transformer,loso,0,21,success
257,ravdess__transformer__loso__s0__f022,ravdess,transformer,loso,0,22,success
258,ravdess__transformer__loso__s0__f023,ravdess,transformer,loso,0,23,success
259,ravdess__transformer__loso__s1__f000,ravdess,transformer,loso,1,0,success
260,ravdess__transformer__loso__s1__f001,ravdess,transformer,loso,1,1,success
261,ravdess__transformer__loso__s1__f002,ravdess,transformer,loso,1,2,success
262,ravdess__transformer__loso__s1__f003,ravdess,transformer,loso,1,3,success
263,ravdess__transformer__loso__s1__f004,ravdess,transformer,loso,1,4,success
264,ravdess__transformer__loso__s1__f005,ravdess,transformer,loso,1,5,success
265,ravdess__transformer__loso__s1__f006,ravdess,transformer,loso,1,6,success
266,ravdess__transformer__loso__s1__f007,ravdess,transformer,loso,1,7,success
267,ravdess__transformer__loso__s1__f008,ravdess,transformer,loso,1,8,success
268,ravdess__transformer__loso__s1__f009,ravdess,transformer,loso,1,9,success
269,ravdess__transformer__loso__s1__f010,ravdess,transformer,loso,1,10,success
270,ravdess__transformer__loso__s1__f011,ravdess,transformer,loso,1,11,success
271,ravdess__transformer__loso__s1__f012,ravdess,transformer,loso,1,12,success
272,ravdess__transformer__loso__s1__f013,ravdess,transformer,loso,1,13,success
273,ravdess__transformer__loso__s1__f014,ravdess,transformer,loso,1,14,success
274,ravdess__transformer__loso__s1__f015,ravdess,transformer,loso,1,15,success
275,ravdess__transformer__loso__s1__f016,ravdess,transformer,loso,1,16,success
276,ravdess__transformer__loso__s1__f017,ravdess,transformer,loso,1,17,success
277,ravdess__transformer__loso__s1__f018,ravdess,transformer,loso,1,18,success
278,ravdess__transformer__loso__s1__f019,ravdess,transformer,loso,1,19,success
279,ravdess__transformer__loso__s1__f020,ravdess,transformer,loso,1,20,success
280,ravdess__transformer__loso__s1__f021,ravdess,transformer,loso,1,21,success
281,ravdess__transformer__loso__s1__f022,ravdess,transformer,loso,1,22,success
282,ravdess__transformer__loso__s1__f023,ravdess,transformer,loso,1,23,success
283,ravdess__transformer__loso__s2__f000,ravdess,transformer,loso,2,0,success
284,ravdess__transformer__loso__s2__f001,ravdess,transformer,loso,2,1,success
285,ravdess__transformer__loso__s2__f002,ravdess,transformer,loso,2,2,success
286,ravdess__transformer__loso__s2__f003,ravdess,transformer,loso,2,3,success
287,ravdess__transformer__loso__s2__f004,ravdess,transformer,loso,2,4,success
288,ravdess__transformer__loso__s2__f005,ravdess,transformer,loso,2,5,success
289,ravdess__transformer__loso__s2__f006,ravdess,transformer,loso,2,6,success
290,ravdess__transformer__loso__s2__f007,ravdess,transformer,loso,2,7,success
291,ravdess__transformer__loso__s2__f008,ravdess,transformer,loso,2,8,success
292,ravdess__transformer__loso__s2__f009,ravdess,transformer,loso,2,9,success
293,ravdess__transformer__loso__s2__f010,ravdess,transformer,loso,2,10,success
294,ravdess__transformer__loso__s2__f011,ravdess,transformer,loso,2,11,success
295,ravdess__transformer__loso__s2__f012,ravdess,transformer,loso,2,12,success
296,ravdess__transformer__loso__s2__f013,ravdess,transformer,loso,2,13,success
297,ravdess__transformer__loso__s2__f014,ravdess,transformer,loso,2,14,success
298,ravdess__transformer__loso__s2__f015,ravdess,transformer,loso,2,15,success
299,ravdess__transformer__loso__s2__f016,ravdess,transformer,loso,2,16,success
300,ravdess__transformer__loso__s2__f017,ravdess,transformer,loso,2,17,success
301,ravdess__transformer__loso__s2__f018,ravdess,transformer,loso,2,18,success
302,ravdess__transformer__loso__s2__f019,ravdess,transformer,loso,2,19,success
303,ravdess__transformer__loso__s2__f020,ravdess,transformer,loso,2,20,success
304,ravdess__transformer__loso__s2__f021,ravdess,transformer,loso,2,21,success
305,ravdess__transformer__loso__s2__f022,ravdess,transformer,loso,2,22,success
306,ravdess__transformer__loso__s2__f023,ravdess,transformer,loso,2,23,success
307,ravdess__fno__random__s0__f000,ravdess,fno,random,0,0,success
308,ravdess__fno__random__s0__f001,ravdess,fno,random,0,1,success
309,ravdess__fno__random__s0__f002,ravdess,fno,random,0,2,success
310,ravdess__fno__random__s0__f003,ravdess,fno,random,0,3,success
311,ravdess__fno__random__s0__f004,ravdess,fno,random,0,4,success
312,ravdess__fno__random__s1__f000,ravdess,fno,random,1,0,success
313,ravdess__fno__random__s1__f001,ravdess,fno,random,1,1,success
314,ravdess__fno__random__s1__f002,ravdess,fno,random,1,2,success
315,ravdess__fno__random__s1__f003,ravdess,fno,random,1,3,success
316,ravdess__fno__random__s1__f004,ravdess,fno,random,1,4,success
317,ravdess__fno__random__s2__f000,ravdess,fno,random,2,0,success
318,ravdess__fno__random__s2__f001,ravdess,fno,random,2,1,success
319,ravdess__fno__random__s2__f002,ravdess,fno,random,2,2,success
320,ravdess__fno__random__s2__f003,ravdess,fno,random,2,3,success
321,ravdess__fno__random__s2__f004,ravdess,fno,random,2,4,success
322,ravdess__fno__groupkfold__s0__f000,ravdess,fno,groupkfold,0,0,success
323,ravdess__fno__groupkfold__s0__f001,ravdess,fno,groupkfold,0,1,success
324,ravdess__fno__groupkfold__s0__f002,ravdess,fno,groupkfold,0,2,success
325,ravdess__fno__groupkfold__s0__f003,ravdess,fno,groupkfold,0,3,success
326,ravdess__fno__groupkfold__s0__f004,ravdess,fno,groupkfold,0,4,success
327,ravdess__fno__groupkfold__s1__f000,ravdess,fno,groupkfold,1,0,success
328,ravdess__fno__groupkfold__s1__f001,ravdess,fno,groupkfold,1,1,success
329,ravdess__fno__groupkfold__s1__f002,ravdess,fno,groupkfold,1,2,success
330,ravdess__fno__groupkfold__s1__f003,ravdess,fno,groupkfold,1,3,success
331,ravdess__fno__groupkfold__s1__f004,ravdess,fno,groupkfold,1,4,success
332,ravdess__fno__groupkfold__s2__f000,ravdess,fno,groupkfold,2,0,success
333,ravdess__fno__groupkfold__s2__f001,ravdess,fno,groupkfold,2,1,success
334,ravdess__fno__groupkfold__s2__f002,ravdess,fno,groupkfold,2,2,success
335,ravdess__fno__groupkfold__s2__f003,ravdess,fno,groupkfold,2,3,success
336,ravdess__fno__groupkfold__s2__f004,ravdess,fno,groupkfold,2,4,success
337,ravdess__fno__loso__s0__f000,ravdess,fno,loso,0,0,success
338,ravdess__fno__loso__s0__f001,ravdess,fno,loso,0,1,success
339,ravdess__fno__loso__s0__f002,ravdess,fno,loso,0,2,success
340,ravdess__fno__loso__s0__f003,ravdess,fno,loso,0,3,success
341,ravdess__fno__loso__s0__f004,ravdess,fno,loso,0,4,success
342,ravdess__fno__loso__s0__f005,ravdess,fno,loso,0,5,success
343,ravdess__fno__loso__s0__f006,ravdess,fno,loso,0,6,success
344,ravdess__fno__loso__s0__f007,ravdess,fno,loso,0,7,success
345,ravdess__fno__loso__s0__f008,ravdess,fno,loso,0,8,success
346,ravdess__fno__loso__s0__f009,ravdess,fno,loso,0,9,success
347,ravdess__fno__loso__s0__f010,ravdess,fno,loso,0,10,success
348,ravdess__fno__loso__s0__f011,ravdess,fno,loso,0,11,success
349,ravdess__fno__loso__s0__f012,ravdess,fno,loso,0,12,success
