method,fold,rotation,draw,policy,n_test_people_expected,n_test_people_used,nn1_mean,nn1_max,nn3_mean
matched_eight_train_prompts_complete,0,5,0,C,19,18,0.6097103002461448,0.7547074586582563,0.6668223577818578
actual_test_query_neutral_available,0,5,0,C,19,19,0.6483105290864849,0.7529604559116012,0.7072530709184567
matched_eight_train_prompts_complete,0,5,0,R,19,18,0.5829651259991337,0.7111034284907171,0.653873332676399
actual_test_query_neutral_available,0,5,0,R,19,19,0.6354980027791195,0.8078854693786993,0.7000271823583629
matched_eight_train_prompts_complete,0,5,0,U,19,18,0.5960946765528513,0.7592214838451037,0.6470048228741788
actual_test_query_neutral_available,0,5,0,U,19,19,0.6281403786074548,0.7713940513217159,0.6926893808661465
matched_eight_train_prompts_complete,0,5,1,C,19,18,0.6097103002461448,0.7547074586582563,0.6668223577818578
actual_test_query_neutral_available,0,5,1,C,19,19,0.6483105290864849,0.7529604559116012,0.7072530709184567
matched_eight_train_prompts_complete,0,5,1,R,19,18,0.5829651259991337,0.7111034284907171,0.653873332676399
actual_test_query_neutral_available,0,5,1,R,19,19,0.6354980027791195,0.8078854693786993,0.7000271823583629
matched_eight_train_prompts_complete,0,5,1,U,19,18,0.607418841912402,0.7761489586715744,0.6631743055905321
actual_test_query_neutral_available,0,5,1,U,19,19,0.6679817732048509,0.8108797740272591,0.7194202598256846
matched_eight_train_prompts_complete,0,5,2,C,19,18,0.6097103002461448,0.7547074586582563,0.6668223577818578
actual_test_query_neutral_available,0,5,2,C,19,19,0.6483105290864849,0.7529604559116012,0.7072530709184567
matched_eight_train_prompts_complete,0,5,2,R,19,18,0.5829651259991337,0.7111034284907171,0.653873332676399
actual_test_query_neutral_available,0,5,2,R,19,19,0.6354980027791195,0.8078854693786993,0.7000271823583629
matched_eight_train_prompts_complete,0,5,2,U,19,18,0.589612535681453,0.7439037466849969,0.6411404711560292
actual_test_query_neutral_available,0,5,2,U,19,19,0.6289648492008776,0.7704494018367805,0.6835136939653137
matched_eight_train_prompts_complete,1,0,0,C,19,19,0.6051777695176126,0.7814367631997932,0.6679205356491806
actual_test_query_neutral_available,1,0,0,C,19,19,0.6568588134985879,0.7731588108106634,0.7037313377142609
matched_eight_train_prompts_complete,1,0,0,R,19,19,0.57326245555868,0.8102346186984057,0.6387951959099089
actual_test_query_neutral_available,1,0,0,R,19,19,0.6299170360146134,0.8165188487800619,0.6885919233919588
matched_eight_train_prompts_complete,1,0,0,U,19,19,0.5563423201289971,0.7495243145174427,0.6258871080171208
actual_test_query_neutral_available,1,0,0,U,19,19,0.627663552930635,0.7514898705363204,0.681923713133268
matched_eight_train_prompts_complete,1,0,1,C,19,19,0.6051777695176126,0.7814367631997932,0.6679205356491806
actual_test_query_neutral_available,1,0,1,C,19,19,0.6568588134985879,0.7731588108106634,0.7037313377142609
matched_eight_train_prompts_complete,1,0,1,R,19,19,0.57326245555868,0.8102346186984057,0.6387951959099089
actual_test_query_neutral_available,1,0,1,R,19,19,0.6299170360146134,0.8165188487800619,0.6885919233919588
