model,B,S,scenario,speaker,draw0_uar_pp,draw1_uar_pp,draw2_uar_pp,mean_uar_pp
ridge_wavlm,288,48,prompt_seen,1056,36.11111111111111,44.44444444444444,44.44444444444444,41.666666666666664
ridge_wavlm,288,48,prompt_seen,1057,36.111111111111114,33.33333333333333,48.61111111111111,39.35185185185185
ridge_wavlm,288,48,prompt_seen,1058,52.77777777777778,51.38888888888889,55.55555555555556,53.24074074074074
ridge_wavlm,288,48,prompt_seen,1059,33.33333333333333,30.555555555555554,43.05555555555555,35.648148148148145
ridge_wavlm,288,48,prompt_seen,1060,33.33333333333333,34.72222222222223,30.555555555555557,32.870370370370374
ridge_wavlm,288,48,prompt_seen,1061,43.05555555555556,48.611111111111114,43.05555555555555,44.90740740740741
ridge_wavlm,288,48,prompt_seen,1062,38.888888888888886,37.5,34.722222222222214,37.03703703703703
ridge_wavlm,288,48,prompt_seen,1063,47.22222222222223,44.44444444444444,52.77777777777778,48.14814814814815
ridge_wavlm,288,48,prompt_seen,1064,44.44444444444444,58.333333333333336,59.72222222222222,54.166666666666664
ridge_wavlm,288,48,prompt_seen,1065,41.66666666666667,44.44444444444445,40.27777777777777,42.129629629629626
ridge_wavlm,288,48,prompt_seen,1066,47.22222222222223,44.44444444444444,58.333333333333336,50.0
ridge_wavlm,288,48,prompt_seen,1067,26.38888888888889,34.72222222222223,36.111111111111114,32.40740740740741
ridge_wavlm,288,48,prompt_seen,1068,52.77777777777778,48.611111111111114,40.27777777777777,47.22222222222222
ridge_wavlm,288,48,prompt_seen,1069,44.44444444444444,47.22222222222223,43.05555555555556,44.90740740740741
ridge_wavlm,288,48,prompt_seen,1070,44.44444444444444,48.61111111111111,44.44444444444444,45.833333333333336
ridge_wavlm,288,48,prompt_seen,1071,47.222222222222214,36.11111111111111,38.88888888888889,40.74074074074073
ridge_wavlm,288,48,prompt_seen,1072,41.66666666666666,45.83333333333333,38.88888888888889,42.129629629629626
