level,model,replicate,variant,accepted_classes_present,accepted_error,accepted_present_class_uar,accepted_support_0,accepted_support_1,accepted_support_2,accepted_support_3,accepted_support_4,accepted_support_5,accepted_uar,actual_review_rate,b,coverage,error_capture_rate,n_rejected,n_utts,overall_error_rate,overall_uar,quota_accepted_error,quota_coverage,quota_error_capture_rate,speaker_coverage_min,speaker_coverage_p10,speaker_equal_accepted_error,speaker_risk_undefined_count,speakers_below_0.70,speakers_zero,tau,accepted_support_6,accepted_support_7
cremad,hubert_base,r0s0,within_fold,6,0.2480672268907563,75.0249750784722,1129,972,985,1005,919,940,75.0249750784722,0.19973100201748487,0.2,0.8002689979825152,0.36923076923076925,1485,7435,0.31472763954270344,68.91714271547986,0.2522567703109328,0.8045729657027573,0.35512820512820514,0.6585365853658537,0.7317073170731707,0.2504657641743712,0,6,0,0.5180629627545627,,
cremad,hubert_base,r0s0,within_fold,6,0.21451891684271174,78.0883167363761,1040,848,824,875,830,790,78.0883167363761,0.29966375252185606,0.3,0.7003362474781439,0.5226495726495727,2228,7435,0.31472763954270344,68.91714271547986,0.22084839261936465,0.7070611970410222,0.5038461538461538,0.5365853658536586,0.6097560975609756,0.21785145506383827,0,43,0,0.5926663104986394,,
cremad,hubert_base,r1s1,global_oof,6,0.27465630603705915,72.64615268066137,1206,1103,1144,1122,1000,1117,72.64615268066137,0.09993275050437121,0.1,0.9000672494956288,0.20639032815198619,743,7435,0.31149966375252186,69.19251506678967,0.27630402384500746,0.902488231338265,0.19948186528497408,0.7073170731707317,0.8414634146341463,0.27679733621643815,0,0,0,0.4391524801564713,,
cremad,hubert_base,r1s1,global_oof,6,0.2410894418291863,75.81458773428656,1125,961,1007,992,904,959,75.81458773428656,0.2,0.2,0.8,0.38082901554404147,1487,7435,0.31149966375252186,69.19251506678967,0.24607154797726513,0.8045729657027573,0.3644214162348877,0.5975609756097561,0.7195121951219512,0.24388501441224808,0,5,0,0.5158014072042924,,
cremad,hubert_base,r1s1,global_oof,6,0.20902977905859751,78.78724836557446,1043,819,864,869,805,805,78.78724836557446,0.29993275050437124,0.3,0.7000672494956288,0.5302245250431779,2230,7435,0.31149966375252186,69.19251506678967,0.21894616701540803,0.7070611970410222,0.5030224525043178,0.4878048780487805,0.6219512195121951,0.21204587816275375,0,45,0,0.5857846835048528,,
cremad,hubert_base,r1s1,within_fold,6,0.2748730206154765,72.60842599729321,1207,1104,1134,1126,1002,1121,72.60842599729321,0.09966375252185608,0.1,0.9003362474781439,0.20552677029360966,741,7435,0.31149966375252186,69.19251506678967,0.27630402384500746,0.902488231338265,0.19948186528497408,0.7682926829268293,0.8414634146341463,0.27669781175869373,0,0,0,0.4391524801564713,,
cremad,hubert_base,r1s1,within_fold,6,0.24201680672268908,75.70977565704254,1128,955,1004,1001,904,958,75.70977565704254,0.19973100201748487,0.2,0.8002689979825152,0.37823834196891193,1485,7435,0.31149966375252186,69.19251506678967,0.24607154797726513,0.8045729657027573,0.3644214162348877,0.6585365853658537,0.7195121951219512,0.24467506457069346,0,5,0,0.5158014072042924,,
cremad,hubert_base,r1s1,within_fold,6,0.2072608528620822,78.92831778835179,1038,813,858,870,815,812,78.92831778835179,0.2997982515131137,0.3,0.7002017484868863,0.5341105354058722,2229,7435,0.31149966375252186,69.19251506678967,0.21894616701540803,0.7070611970410222,0.5030224525043178,0.524390243902439,0.6097560975609756,0.21049821544971695,0,42,0,0.5857846835048528,,
cremad,hubert_base,r2s2,global_oof,6,0.28153018529587565,72.01912053922311,1198,1117,1139,1126,989,1123,72.01912053922311,0.09993275050437121,0.1,0.9000672494956288,0.20506329113924052,743,7435,0.3187626092804304,68.4522906009997,0.2834575260804769,0.902488231338265,0.19746835443037974,0.7894736842105263,0.8414634146341463,0.2827625233063565,0,0,0,0.4468511276972711,,
cremad,hubert_base,r2s2,global_oof,6,0.24899125756556825,75.08455705287949,1108,968,1016,1001,898,957,75.08455705287949,0.2,0.2,0.8,0.3751054852320675,1487,7435,0.3187626092804304,68.4522906009997,0.2545971247074557,0.8045729657027573,0.35738396624472574,0.6707317073170732,0.6951219512195121,0.2505317864424299,0,10,0,0.5216673929908991,,
cremad,hubert_base,r2s2,global_oof,6,0.2165225744476465,78.01730361351517,1025,824,874,870,825,787,78.01730361351517,0.29993275050437124,0.3,0.7000672494956288,0.5244725738396624,2230,7435,0.3187626092804304,68.4522906009997,0.2257941791896519,0.7070611970410222,0.4991561181434599,0.5487804878048781,0.5975609756097561,0.21904102076716825,0,44,0,0.593511745852657,,
cremad,hubert_base,r2s2,within_fold,6,0.28223517107425666,71.9486733994133,1202,1115,1144,1125,988,1119,71.9486733994133,0.09979825151311365,0.1,0.9002017484868864,0.2029535864978903,742,7435,0.3187626092804304,68.4522906009997,0.2834575260804769,0.902488231338265,0.19746835443037974,0.7763157894736842,0.8536585365853658,0.2832820572153268,0,0,0,0.4468511276972711,,
cremad,hubert_base,r2s2,within_fold,6,0.24974789915966386,74.99191922958929,1111,963,1012,1001,899,964,74.99191922958929,0.19973100201748487,0.2,0.8002689979825152,0.3729957805907173,1485,7435,0.3187626092804304,68.4522906009997,0.2545971247074557,0.8045729657027573,0.35738396624472574,0.6341463414634146,0.7195121951219512,0.2515562619740064,0,8,0,0.5216673929908991,,
cremad,hubert_base,r2s2,within_fold,6,0.21667306953515175,78.01512286736894,1021,823,876,872,824,790,78.01512286736894,0.2997982515131137,0.3,0.7002017484868863,0.5240506329113924,2229,7435,0.3187626092804304,68.4522906009997,0.2257941791896519,0.7070611970410222,0.4991561181434599,0.5609756097560976,0.6097560975609756,0.21969752944343196,0,48,0,0.593511745852657,,
cremad,resnet_se,r0s0,global_oof,6,0.3759713090257023,62.62068240289476,1199,1127,1119,1134,970,1143,62.62068240289476,0.09993275050437121,0.1,0.9000672494956288,0.16605899900563473,743,7435,0.40578345662407533,59.80532669137267,0.37585692995529063,0.902488231338265,0.16407026847862113,0.7682926829268293,0.8414634146341463,0.3756719484369589,0,0,0,0.40509523008993226,,
