level,model,b,speaker,coverage,accepted_error,n_utts,n_reps,n_defined_risk_reps
cremad,cnn,0.3,1042,0.6300813008130081,0.4519140989729225,82,3,3
cremad,cnn,0.3,1043,0.7845528455284553,0.3315362057297541,82,3,3
cremad,cnn,0.3,1044,0.6097560975609757,0.28798185941043086,82,3,3
cremad,cnn,0.3,1045,0.6951219512195123,0.3272366522366522,82,3,3
cremad,cnn,0.3,1046,0.8089430894308943,0.5478645420241787,82,3,3
cremad,cnn,0.3,1047,0.7560975609756099,0.1817982456140351,82,3,3
cremad,cnn,0.3,1048,0.6910569105691057,0.24646648635719673,82,3,3
cremad,cnn,0.3,1049,0.7113821138211381,0.2792672750275916,82,3,3
cremad,cnn,0.3,1050,0.804878048780488,0.34340998967864644,82,3,3
cremad,cnn,0.3,1051,0.6666666666666666,0.24412955465587047,82,3,3
cremad,cnn,0.3,1052,0.7032520325203252,0.34122470110045405,82,3,3
cremad,cnn,0.3,1053,0.6910569105691057,0.2410160681049768,82,3,3
cremad,cnn,0.3,1054,0.7113821138211381,0.5247370967331245,82,3,3
cremad,cnn,0.3,1055,0.7317073170731708,0.3171354069659154,82,3,3
cremad,cnn,0.3,1056,0.7073170731707318,0.42457627118644065,82,3,3
cremad,cnn,0.3,1057,0.6260162601626016,0.4471959814065077,82,3,3
cremad,cnn,0.3,1058,0.7520325203252032,0.2806523224043716,82,3,3
cremad,cnn,0.3,1059,0.7154471544715447,0.5611496913580246,82,3,3
cremad,cnn,0.3,1060,0.7235772357723578,0.4876626010417964,82,3,3
cremad,cnn,0.3,1061,0.7235772357723578,0.2825531342480495,82,3,3
cremad,cnn,0.3,1062,0.7723577235772359,0.393106395100413,82,3,3
cremad,cnn,0.3,1063,0.7601626016260162,0.23538420148589642,82,3,3
cremad,cnn,0.3,1064,0.7886178861788619,0.3013368983957219,82,3,3
cremad,cnn,0.3,1065,0.7439024390243901,0.3338902812587023,82,3,3
cremad,cnn,0.3,1066,0.7276422764227641,0.31787094855783526,82,3,3
